Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4847556189,sharple2,0,152.12,DST Rams  FLEX James Conner QB Josh Allen RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Malik Nabers WR Jaxon Smith-Njigba WR Elic Ayomanor,,Breece Hall,RB,50.00%,5.8
2,4844923444,Slam4life,0,145.68,DST Panthers  FLEX Kyren Williams QB Patrick Mahomes RB Chuba Hubbard RB Javonte Williams TE Hunter Henry WR Puka Nacua WR Tee Higgins WR Jameson Williams,,Christian McCaffrey,RB,40.00%,22.7
3,4849705489,emorej15,0,137.52,DST Bears  FLEX Kenneth Walker III QB Aaron Rodgers RB Saquon Barkley RB Travis Etienne Jr. TE Tyler Warren WR Ja'Marr Chase WR Keon Coleman WR Cooper Kupp,,Kyren Williams,RB,40.00%,10
4,4854438262,packfan1983,0,136.1,DST Rams  FLEX Kenneth Walker III QB Drake Maye RB Breece Hall RB TreVeyon Henderson TE Hunter Henry WR Ja'Marr Chase WR Garrett Wilson WR George Pickens,,Rams,DST,40.00%,8
5,4854496568,dominodwb,0,128.08,DST Saints  FLEX Christian McCaffrey QB Justin Fields RB Jonathan Taylor RB Kyren Williams TE Juwan Johnson WR Jaxon Smith-Njigba WR DK Metcalf WR Marvin Harrison Jr.,,Ja'Marr Chase,WR,30.00%,39.5
6,4850389435,O-N-E,0,124.64,DST Rams  FLEX Breece Hall QB Joe Burrow RB Travis Etienne Jr. RB Dylan Sampson TE Harold Fannin Jr. WR Ja'Marr Chase WR A.J. Brown WR Tetairoa McMillan,,Jaxon Smith-Njigba,WR,30.00%,21.3
7,4853975244,blade315,0,119.9,DST Colts  FLEX Saquon Barkley QB Drake Maye RB Christian McCaffrey RB Breece Hall TE Brenton Strange WR DK Metcalf WR Jameson Williams WR Ricky Pearsall,,DK Metcalf,WR,30.00%,11
8,4845012779,mdturner3883,0,113.24,DST Rams  FLEX CeeDee Lamb QB Daniel Jones RB Chase Brown RB Kyren Williams TE Harold Fannin Jr. WR Brian Thomas Jr. WR DK Metcalf WR Michael Pittman Jr.,,Harold Fannin Jr.,TE,30.00%,9.8
9,4844859704,cdubb823,0,110.28,DST 49ers  FLEX Christian McCaffrey QB Justin Fields RB Breece Hall RB Javonte Williams TE Tyler Warren WR Jaxon Smith-Njigba WR Hollywood Brown WR Keon Coleman,,Josh Allen,QB,20.00%,11.82
10,4850556074,Nia8888,0,82.62,DST Cowboys  FLEX CeeDee Lamb QB Josh Allen RB Breece Hall RB Dylan Sampson TE Dalton Kincaid WR Brian Thomas Jr. WR Marvin Harrison Jr. WR Kayshon Boutte,,Justin Fields,QB,20.00%,4.98
,,,,,,,Drake Maye,QB,20.00%,26.3
,,,,,,,Saquon Barkley,RB,20.00%,17.4
,,,,,,,Javonte Williams,RB,20.00%,25
,,,,,,,Travis Etienne Jr.,RB,20.00%,16.9
,,,,,,,Kenneth Walker III,FLEX,20.00%,21.8
,,,,,,,Dylan Sampson,RB,20.00%,10.9
,,,,,,,CeeDee Lamb,FLEX,20.00%,23.2
,,,,,,,Brian Thomas Jr.,WR,20.00%,8.9
,,,,,,,Marvin Harrison Jr.,WR,20.00%,4.7
,,,,,,,Jameson Williams,WR,20.00%,21.8
,,,,,,,Keon Coleman,WR,20.00%,5.6
,,,,,,,Tyler Warren,TE,20.00%,11.9
,,,,,,,Hunter Henry,TE,20.00%,1.9
,,,,,,,Joe Burrow,QB,10.00%,7.04
,,,,,,,Patrick Mahomes,QB,10.00%,23.08
,,,,,,,Aaron Rodgers,QB,10.00%,12.42
,,,,,,,Daniel Jones,QB,10.00%,25.84
,,,,,,,Chase Brown,RB,10.00%,8.5
,,,,,,,Jonathan Taylor,RB,10.00%,32.5
,,,,,,,James Conner,FLEX,10.00%,12.2
,,,,,,,Chuba Hubbard,RB,10.00%,18.7
,,,,,,,TreVeyon Henderson,RB,10.00%,6
,,,,,,,Puka Nacua,WR,10.00%,27.6
,,,,,,,Malik Nabers,WR,10.00%,40.7
,,,,,,,A.J. Brown,WR,10.00%,7.7
,,,,,,,Garrett Wilson,WR,10.00%,9
,,,,,,,Tee Higgins,WR,10.00%,14.6
,,,,,,,George Pickens,WR,10.00%,17.8
,,,,,,,Tetairoa McMillan,WR,10.00%,19
,,,,,,,Ricky Pearsall,WR,10.00%,9.2
,,,,,,,Hollywood Brown,WR,10.00%,8
,,,,,,,Michael Pittman Jr.,WR,10.00%,8
,,,,,,,Cooper Kupp,WR,10.00%,16
,,,,,,,Kayshon Boutte,WR,10.00%,8.6
,,,,,,,Elic Ayomanor,WR,10.00%,15.6
,,,,,,,Dalton Kincaid,TE,10.00%,7.7
,,,,,,,Juwan Johnson,TE,10.00%,15.9
,,,,,,,Brenton Strange,TE,10.00%,4.7
,,,,,,,49ers,DST,10.00%,5
,,,,,,,Cowboys,DST,10.00%,1
,,,,,,,Colts,DST,10.00%,1
,,,,,,,Saints,DST,10.00%,5
,,,,,,,Bears,DST,10.00%,-4
,,,,,,,Panthers,DST,10.00%,3
