Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4840674454,sharple2,0,146.52,DST Texans  FLEX Christian McCaffrey QB Trevor Lawrence RB Bijan Robinson RB Chase Brown TE David Njoku WR Jaxon Smith-Njigba WR Tetairoa McMillan WR Emeka Egbuka,,Emeka Egbuka,WR,54.55%,23.6
2,4841364470,dominodwb,0,133.92,DST Raiders  FLEX Bijan Robinson QB Jayden Daniels RB Tony Pollard RB Nick Chubb TE Juwan Johnson WR Ja'Marr Chase WR Jakobi Meyers WR Emeka Egbuka,,Jayden Daniels,QB,36.36%,20.12
3,4840551096,emorej15,0,129.08,DST 49ers  FLEX De'Von Achane QB Brock Purdy RB Bijan Robinson RB Jahmyr Gibbs TE George Kittle WR Josh Downs WR Emeka Egbuka WR Hunter Renfrow,,Nick Chubb,RB,36.36%,6
4,4843267141,packfan1983,0,117.32,DST Texans  FLEX Tetairoa McMillan QB Jayden Daniels RB Josh Jacobs RB TreVeyon Henderson TE George Kittle WR Drake London WR Terry McLaurin WR Emeka Egbuka,,Tetairoa McMillan,WR,36.36%,11.8
5,4841312191,mdturner3883,0,115.42,DST Broncos  FLEX Xavier Legette QB Jayden Daniels RB Josh Jacobs RB Nick Chubb TE David Njoku WR Garrett Wilson WR Terry McLaurin WR Jaxon Smith-Njigba,,George Kittle,TE,36.36%,12.5
6,4841143408,O-N-E,0,108.34,DST Patriots  FLEX Jahmyr Gibbs QB Bo Nix RB De'Von Achane RB Nick Chubb TE Evan Engram WR Drake London WR Tetairoa McMillan WR Emeka Egbuka,,Bijan Robinson,RB,27.27%,27.4
7,4840347545,cdubb823,0,106.86,DST Lions  FLEX Ashton Jeanty QB Bryce Young RB Jahmyr Gibbs RB Alvin Kamara TE Tyler Warren WR Terry McLaurin WR Tetairoa McMillan WR Emeka Egbuka,,Jahmyr Gibbs,RB,27.27%,15
8,4842497381,Nia8888,0,100.52,DST Cardinals  FLEX Tyler Warren QB Jayden Daniels RB Chuba Hubbard RB Tank Bigsby TE George Kittle WR Ja'Marr Chase WR Jameson Williams WR Jakobi Meyers,,Drake London,WR,27.27%,13.5
9,4840816713,Slam4life,0,100.1,DST Raiders  FLEX David Montgomery QB Anthony Richardson Sr. RB Kyren Williams RB Chuba Hubbard TE Pat Freiermuth WR Puka Nacua WR Tyreek Hill WR Mike Evans,,Terry McLaurin,WR,27.27%,4.7
10,4842806423,blade315,0,91.68,DST Falcons  FLEX Nico Collins QB Drake Maye RB Ashton Jeanty RB Nick Chubb TE George Kittle WR Drake London WR Jameson Williams WR Ricky Pearsall,,Tyler Warren,TE,27.27%,14.9
11,4840368434,Raydiddy1,0,85.6,DST Steelers  FLEX Nico Collins QB Sam Darnold RB Kyren Williams RB James Conner TE Tyler Warren WR Mike Evans WR Stefon Diggs WR Calvin Ridley,,Ashton Jeanty,RB,18.18%,12
,,,,,,,De'Von Achane,RB,18.18%,16.5
,,,,,,,Josh Jacobs,RB,18.18%,14
,,,,,,,Kyren Williams,RB,18.18%,13.9
,,,,,,,Chuba Hubbard,RB,18.18%,17.9
,,,,,,,Ja'Marr Chase,WR,18.18%,4.6
,,,,,,,Nico Collins,FLEX,18.18%,5.5
,,,,,,,Mike Evans,WR,18.18%,10.1
,,,,,,,Jaxon Smith-Njigba,WR,18.18%,23.4
,,,,,,,Jameson Williams,WR,18.18%,6.6
,,,,,,,Jakobi Meyers,WR,18.18%,17.7
,,,,,,,David Njoku,TE,18.18%,6.7
,,,,,,,Raiders,DST,18.18%,10
,,,,,,,Texans,DST,18.18%,6
,,,,,,,Bo Nix,QB,9.09%,9.84
,,,,,,,Brock Purdy,QB,9.09%,18.78
,,,,,,,Bryce Young,QB,9.09%,11.16
,,,,,,,Drake Maye,QB,9.09%,16.78
,,,,,,,Sam Darnold,QB,9.09%,6.4
,,,,,,,Trevor Lawrence,QB,9.09%,11.32
,,,,,,,Anthony Richardson Sr.,QB,9.09%,0
,,,,,,,Christian McCaffrey,FLEX,9.09%,23.2
,,,,,,,Chase Brown,RB,9.09%,13.1
,,,,,,,Alvin Kamara,RB,9.09%,13.7
,,,,,,,James Conner,RB,9.09%,14.4
,,,,,,,Tony Pollard,RB,9.09%,8.9
,,,,,,,David Montgomery,FLEX,9.09%,8.3
,,,,,,,TreVeyon Henderson,RB,9.09%,11.1
,,,,,,,Tank Bigsby,RB,9.09%,1.2
,,,,,,,Puka Nacua,WR,9.09%,26.1
,,,,,,,Tyreek Hill,WR,9.09%,8
,,,,,,,Garrett Wilson,WR,9.09%,22.5
,,,,,,,Stefon Diggs,WR,9.09%,11.7
,,,,,,,Calvin Ridley,WR,9.09%,6.7
,,,,,,,Josh Downs,WR,9.09%,3.2
,,,,,,,Ricky Pearsall,WR,9.09%,17.8
,,,,,,,Xavier Legette,FLEX,9.09%,4
,,,,,,,Hunter Renfrow,WR,9.09%,3.1
,,,,,,,Evan Engram,TE,9.09%,5.1
,,,,,,,Juwan Johnson,TE,9.09%,15.6
,,,,,,,Pat Freiermuth,TE,9.09%,5.8
,,,,,,,Broncos,DST,9.09%,14
,,,,,,,Cardinals,DST,9.09%,5
,,,,,,,Steelers,DST,9.09%,2
,,,,,,,Patriots,DST,9.09%,7
,,,,,,,49ers,DST,9.09%,9
,,,,,,,Lions,DST,9.09%,0
,,,,,,,Falcons,DST,9.09%,1
