Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
,,,,,,,Ashton Jeanty,RB,8.33%,6.3
,,,,,,,Jaylen Warren,RB,8.33%,13.1
,,,,,,,Jacory Croskey-Merritt,RB,8.33%,10.1
,,,,,,,Rhamondre Stevenson,RB,8.33%,6.6
,,,,,,,Bhayshul Tuten,FLEX,8.33%,8.1
,,,,,,,Justin Jefferson,WR,8.33%,12.5
,,,,,,,Nico Collins,WR,8.33%,26.4
,,,,,,,Ladd McConkey,WR,8.33%,8.1
,,,,,,,Mike Evans,WR,8.33%,13.3
,,,,,,,Brian Thomas Jr.,WR,8.33%,7.5
,,,,,,,Deebo Samuel Sr.,WR,8.33%,4.9
,,,,,,,Drake London,WR,8.33%,10.5
,,,,,,,George Pickens,WR,8.33%,17.8
,,,,,,,DK Metcalf,WR,8.33%,12.2
,,,,,,,Ricky Pearsall,WR,8.33%,22.7
,,,,,,,Quentin Johnston,WR,8.33%,14.9
,,,,,,,DJ Moore,WR,8.33%,12.8
,,,,,,,Christian Kirk,WR,8.33%,5.5
,,,,,,,Troy Franklin,WR,8.33%,2.8
,,,,,,,Trey McBride,TE,8.33%,15.3
,,,,,,,Tucker Kraft,TE,8.33%,5.9
,,,,,,,David Njoku,TE,8.33%,9
,,,,,,,Adam Trautman,TE,8.33%,0
,,,,,,,Colts,DST,8.33%,15
,,,,,,,Falcons,DST,8.33%,3
,,,,,,,Steelers,DST,8.33%,16
,,,,,,,Browns,DST,8.33%,13
