Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4855988478,mdturner3883,0,179.22,DST Steelers  FLEX Jordan Mason QB Sam Darnold RB Jonathan Taylor RB Javonte Williams TE David Njoku WR Nico Collins WR Jaxon Smith-Njigba WR Quentin Johnston,,Rome Odunze,WR,58.33%,15.2
2,4857966400,sharple2,0,153.48,DST Texans  FLEX Jordan Mason QB Marcus Mariota RB Christian McCaffrey RB Bijan Robinson TE Trey McBride WR Drake London WR Rome Odunze WR Keenan Allen,,Javonte Williams,RB,50.00%,13.2
3,4864929506,blade315,0,150.56,DST Browns  FLEX Tetairoa McMillan QB Geno Smith RB Bijan Robinson RB Javonte Williams TE Jake Ferguson WR Puka Nacua WR DK Metcalf WR Rome Odunze,,CeeDee Lamb,WR,41.67%,0
4,4858425599,Raydiddy1,0,120.7,DST Falcons  FLEX Tyler Warren QB Justin Herbert RB Javonte Williams RB Travis Etienne Jr. TE Tucker Kraft WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,Jordan Mason,RB,33.33%,26.6
5,4858431958,Slam4life,0,118.22,DST Patriots  FLEX Keenan Allen QB Caleb Williams RB Javonte Williams RB Rhamondre Stevenson TE Tyler Warren WR CeeDee Lamb WR Puka Nacua WR Rome Odunze,,Tetairoa McMillan,WR,33.33%,7.8
6,4859332230,Nia8888,0,112.02,DST Packers  FLEX Saquon Barkley QB Daniel Jones RB Alvin Kamara RB Kenneth Walker III TE Jake Ferguson WR Deebo Samuel Sr. WR DJ Moore WR Rome Odunze,,Puka Nacua,WR,25.00%,25.8
7,4865624311,O-N-E,0,109.72,DST Colts  FLEX CeeDee Lamb QB Caleb Williams RB Travis Etienne Jr. RB Kenneth Walker III TE Harold Fannin Jr. WR Brian Thomas Jr. WR Tetairoa McMillan WR Rome Odunze,,Jaxon Smith-Njigba,WR,25.00%,20.6
8,4865149225,dominodwb,0,107.52,DST Raiders  FLEX Christian McCaffrey QB Carson Wentz RB Ashton Jeanty RB Javonte Williams TE Juwan Johnson WR Justin Jefferson WR Jaxon Smith-Njigba WR Christian Kirk,,Keenan Allen,WR,25.00%,19.5
9,4856040900,davism54,0,106.86,DST Texans  FLEX CeeDee Lamb QB C.J. Stroud RB Javonte Williams RB Jordan Mason TE Juwan Johnson WR Ladd McConkey WR Tetairoa McMillan WR Ricky Pearsall,,Juwan Johnson,TE,25.00%,11.1
10,4865795654,packfan1983,0,97.04,DST Patriots  FLEX Bhayshul Tuten QB Dak Prescott RB Jaylen Warren RB Jordan Mason TE Harold Fannin Jr. WR Ja'Marr Chase WR CeeDee Lamb WR George Pickens,,Dak Prescott,QB,16.67%,14.04
11,4855977671,cdubb823,0,81.44,DST Packers  FLEX Ja'Marr Chase QB Dak Prescott RB Chase Brown RB Alvin Kamara TE Juwan Johnson WR Tetairoa McMillan WR Rome Odunze WR Troy Franklin,,Caleb Williams,QB,16.67%,29.12
12,4863502901,emorej15,0,72.42,DST Raiders  FLEX Chase Brown QB Jordan Love RB Josh Jacobs RB Jacory Croskey-Merritt TE Adam Trautman WR CeeDee Lamb WR Mike Evans WR Keenan Allen,,Christian McCaffrey,RB,16.67%,24
,,,,,,,Bijan Robinson,RB,16.67%,16.1
,,,,,,,Chase Brown,RB,16.67%,6
,,,,,,,Alvin Kamara,RB,16.67%,6.6
,,,,,,,Travis Etienne Jr.,RB,16.67%,11.6
,,,,,,,Kenneth Walker III,RB,16.67%,18
,,,,,,,Ja'Marr Chase,WR,16.67%,9.9
,,,,,,,Tyler Warren,TE,16.67%,6.8
,,,,,,,Jake Ferguson,TE,16.67%,21.2
,,,,,,,Harold Fannin Jr.,TE,16.67%,5.5
,,,,,,,Packers,DST,16.67%,8
,,,,,,,Texans,DST,16.67%,5
,,,,,,,Patriots,DST,16.67%,2
,,,,,,,Raiders,DST,16.67%,-1
,,,,,,,Jordan Love,QB,8.33%,12.12
,,,,,,,Justin Herbert,QB,8.33%,18.6
,,,,,,,C.J. Stroud,QB,8.33%,12.36
,,,,,,,Daniel Jones,QB,8.33%,15.82
,,,,,,,Geno Smith,QB,8.33%,26.06
,,,,,,,Sam Darnold,QB,8.33%,16.72
,,,,,,,Carson Wentz,QB,8.33%,15.32
,,,,,,,Marcus Mariota,QB,8.33%,21.28
,,,,,,,Saquon Barkley,FLEX,8.33%,9.5
,,,,,,,Jonathan Taylor,RB,8.33%,35.8
,,,,,,,Josh Jacobs,RB,8.33%,12.4
