Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4900058225,cdubb823,0,172.16,DST Patriots  FLEX Trey McBride QB Dak Prescott RB Jacory Croskey-Merritt RB Quinshon Judkins TE Tucker Kraft WR Rome Odunze WR Rashee Rice WR Jordan Addison,,Quinshon Judkins,RB,58.33%,26.4
2,4909552126,packfan1983,0,171.34,DST Patriots  FLEX CeeDee Lamb QB Patrick Mahomes RB Josh Jacobs RB Quinshon Judkins TE Tucker Kraft WR Rashee Rice WR Rashid Shaheed WR Chris Moore,,Rashee Rice,WR,58.33%,23.2
3,4909444538,blade315,0,169.78,DST Panthers  FLEX Jonathan Taylor QB Drake Maye RB Quinshon Judkins RB D'Andre Swift TE Harold Fannin Jr. WR Justin Jefferson WR Jordan Addison WR Luke McCaffrey,,Jacory Croskey-Merritt,RB,33.33%,4.2
4,4907641856,sharple2,0,165.94,DST Broncos  FLEX Michael Mayer QB Patrick Mahomes RB Javonte Williams RB Quinshon Judkins TE Trey McBride WR Rome Odunze WR Rashee Rice WR Chris Olave,,Rome Odunze,WR,33.33%,5.1
5,4900136494,mdturner3883,0,164.06,DST Patriots  FLEX Jordan Addison QB Bo Nix RB Jacory Croskey-Merritt RB Quinshon Judkins TE Evan Engram WR George Pickens WR Rome Odunze WR Rashee Rice,,Patrick Mahomes,QB,25.00%,26.24
6,4908089647,Nia8888,0,141.14,DST Broncos  FLEX Kimani Vidal QB Patrick Mahomes RB Javonte Williams RB J.K. Dobbins TE Trey McBride WR Quentin Johnston WR Rashee Rice WR Rashid Shaheed,,Jonathan Taylor,RB,25.00%,34.2
7,4900062081,dominodwb,0,134.16,DST Browns  FLEX Jonathan Taylor QB Dak Prescott RB Quinshon Judkins RB Kimani Vidal TE Darren Waller WR Justin Jefferson WR Elic Ayomanor WR Luke McCaffrey,,Javonte Williams,RB,25.00%,21.8
8,4900061644,Raydiddy1,0,125.54,DST Cardinals  FLEX Jacory Croskey-Merritt QB Jayden Daniels RB Rico Dowdle RB Cam Skattebo TE Tyler Warren WR Ladd McConkey WR Chris Olave WR Romeo Doubs,,Justin Jefferson,WR,25.00%,12.9
9,4905056973,emorej15,0,121.62,DST Giants  FLEX Wan'Dale Robinson QB Daniel Jones RB Jonathan Taylor RB Rico Dowdle TE Michael Mayer WR Justin Jefferson WR Rashee Rice WR Luke McCaffrey,,George Pickens,WR,25.00%,12.2
10,4900451429,Slam4life,0,101.58,DST Colts  FLEX Rashee Rice QB Caleb Williams RB Saquon Barkley RB Quinshon Judkins TE Dallas Goedert WR Rome Odunze WR Quentin Johnston WR Romeo Doubs,,Quentin Johnston,WR,25.00%,11
11,4900058991,davism54,0,99.84,DST Broncos  FLEX Tyjae Spears QB Jayden Daniels RB Javonte Williams RB Jordan Mason TE Harold Fannin Jr. WR George Pickens WR Xavier Worthy WR Rashid Shaheed,,Jordan Addison,WR,25.00%,24.8
12,4908579948,O-N-E,0,85.86,DST Jets  FLEX George Pickens QB Jordan Love RB Saquon Barkley RB Jacory Croskey-Merritt TE Tucker Kraft WR Quentin Johnston WR Matthew Golden WR Hollywood Brown,,Rashid Shaheed,WR,25.00%,8
,,,,,,,Luke McCaffrey,WR,25.00%,0
,,,,,,,Trey McBride,TE,25.00%,29.4
,,,,,,,Tucker Kraft,TE,25.00%,16.8
,,,,,,,Broncos,DST,25.00%,5
,,,,,,,Patriots,DST,25.00%,19
,,,,,,,Jayden Daniels,QB,16.67%,18.74
,,,,,,,Dak Prescott,QB,16.67%,23.26
,,,,,,,Saquon Barkley,RB,16.67%,5.2
,,,,,,,Rico Dowdle,RB,16.67%,10.6
,,,,,,,Kimani Vidal,RB,16.67%,7.5
,,,,,,,Chris Olave,WR,16.67%,26.8
,,,,,,,Romeo Doubs,WR,16.67%,13.2
,,,,,,,Harold Fannin Jr.,TE,16.67%,7.6
,,,,,,,Michael Mayer,TE,16.67%,2
,,,,,,,Drake Maye,QB,8.33%,23.08
,,,,,,,Jordan Love,QB,8.33%,13.36
,,,,,,,Daniel Jones,QB,8.33%,22.22
,,,,,,,Caleb Williams,QB,8.33%,5.68
,,,,,,,Bo Nix,QB,8.33%,39.96
,,,,,,,Josh Jacobs,RB,8.33%,18.8
,,,,,,,Cam Skattebo,RB,8.33%,18.4
,,,,,,,Jordan Mason,RB,8.33%,11.7
,,,,,,,D'Andre Swift,RB,8.33%,23.8
,,,,,,,J.K. Dobbins,RB,8.33%,9
,,,,,,,Tyjae Spears,FLEX,8.33%,7
,,,,,,,CeeDee Lamb,FLEX,8.33%,25
,,,,,,,Xavier Worthy,WR,8.33%,7.8
,,,,,,,Ladd McConkey,WR,8.33%,15.7
,,,,,,,Wan'Dale Robinson,FLEX,8.33%,15.5
,,,,,,,Matthew Golden,WR,8.33%,7.7
,,,,,,,Hollywood Brown,WR,8.33%,9.4
,,,,,,,Elic Ayomanor,WR,8.33%,4.9
,,,,,,,Chris Moore,WR,8.33%,7.9
,,,,,,,Tyler Warren,TE,8.33%,16.9
,,,,,,,Dallas Goedert,TE,8.33%,4.8
,,,,,,,Darren Waller,TE,8.33%,0
,,,,,,,Evan Engram,TE,8.33%,9.2
,,,,,,,Browns,DST,8.33%,25
,,,,,,,Colts,DST,8.33%,7
,,,,,,,Jets,DST,8.33%,6
,,,,,,,Panthers,DST,8.33%,17
,,,,,,,Giants,DST,8.33%,1
,,,,,,,Cardinals,DST,8.33%,1
