Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4890861699,mdturner3883,0,136.3,DST Packers  FLEX Kendrick Bourne QB Sam Darnold RB Javonte Williams RB Rachaad White TE Darren Waller WR Jaxon Smith-Njigba WR Tetairoa McMillan WR Stefon Diggs,,Drake Maye,QB,36.36%,27.24
2,4890856196,davism54,0,136.06,DST Titans  FLEX Tetairoa McMillan QB Bryce Young RB Josh Jacobs RB Rachaad White TE David Njoku WR Emeka Egbuka WR Davante Adams WR Ladd McConkey,,Sam Darnold,QB,36.36%,20
3,4897425793,O-N-E,0,130.84,DST 49ers  FLEX Jake Ferguson QB Drake Maye RB Jonathan Taylor RB Quinshon Judkins TE Juwan Johnson WR George Pickens WR Tetairoa McMillan WR Stefon Diggs,,Christian McCaffrey,RB,36.36%,24.1
4,4889111800,cdubb823,0,128.44,DST Jaguars  FLEX Javonte Williams QB Drake Maye RB Kyren Williams RB Quinshon Judkins TE Jake Ferguson WR Jaxon Smith-Njigba WR Tetairoa McMillan WR Sterling Shepard,,Javonte Williams,RB,36.36%,8.4
5,4894583258,sharple2,0,125.94,DST Browns  FLEX Christian McCaffrey QB Drake Maye RB Javonte Williams RB Rico Dowdle TE David Njoku WR Puka Nacua WR Chris Olave WR Isaiah Bond,,Quinshon Judkins,RB,36.36%,3.6
6,4898282047,packfan1983,0,125.1,DST Rams  FLEX Jonnu Smith QB Sam Darnold RB Christian McCaffrey RB Josh Jacobs TE Michael Mayer WR Puka Nacua WR Emeka Egbuka WR Tyler Lockett,,Puka Nacua,WR,36.36%,4.8
7,4897997373,dominodwb,0,122.9,DST Bengals  FLEX Kyren Williams QB Sam Darnold RB Jonathan Taylor RB Josh Jacobs TE Darren Waller WR Emeka Egbuka WR Marvin Harrison Jr. WR Elic Ayomanor,,Jaxon Smith-Njigba,WR,36.36%,33.2
8,4895919067,Raydiddy1,0,106.38,DST 49ers  FLEX Jake Tonges QB Daniel Jones RB Christian McCaffrey RB Javonte Williams TE David Njoku WR Puka Nacua WR Stefon Diggs WR Kendrick Bourne,,Emeka Egbuka,WR,36.36%,4.4
9,4898210828,blade315,0,104.96,DST Browns  FLEX Christian McCaffrey QB Drake Maye RB Quinshon Judkins RB Hassan Haskins TE Hunter Long WR Puka Nacua WR Jaylen Waddle WR Kendrick Bourne,,Tetairoa McMillan,WR,36.36%,17.9
10,4897254149,Nia8888,0,103.34,DST Browns  FLEX Michael Pittman Jr. QB Baker Mayfield RB Ashton Jeanty RB Kendre Miller TE Mark Andrews WR Jaxon Smith-Njigba WR Davante Adams WR Tee Higgins,,Josh Jacobs,RB,27.27%,32
11,4891124334,Slam4life,0,103,DST Dolphins  FLEX Rashid Shaheed QB Sam Darnold RB Kyren Williams RB Quinshon Judkins TE Jake Ferguson WR Jaxon Smith-Njigba WR Emeka Egbuka WR Michael Pittman Jr.,,Kyren Williams,RB,27.27%,16.7
,,,,,,,Stefon Diggs,WR,27.27%,5.8
,,,,,,,Kendrick Bourne,WR,27.27%,22.2
,,,,,,,Jake Ferguson,TE,27.27%,12.3
,,,,,,,David Njoku,TE,27.27%,5.8
,,,,,,,Browns,DST,27.27%,0
,,,,,,,Jonathan Taylor,RB,18.18%,26.7
,,,,,,,Rachaad White,RB,18.18%,17.6
,,,,,,,Davante Adams,WR,18.18%,7.9
,,,,,,,Michael Pittman Jr.,WR,18.18%,4
,,,,,,,Darren Waller,TE,18.18%,9.2
,,,,,,,49ers,DST,18.18%,0
,,,,,,,Baker Mayfield,QB,9.09%,19.64
,,,,,,,Daniel Jones,QB,9.09%,23.48
,,,,,,,Bryce Young,QB,9.09%,19.46
,,,,,,,Ashton Jeanty,RB,9.09%,16.6
,,,,,,,Rico Dowdle,RB,9.09%,36.9
,,,,,,,Hassan Haskins,RB,9.09%,3.3
,,,,,,,Kendre Miller,RB,9.09%,4.2
,,,,,,,George Pickens,WR,9.09%,34.8
,,,,,,,Jaylen Waddle,WR,9.09%,15.82
,,,,,,,Tee Higgins,WR,9.09%,11.2
,,,,,,,Ladd McConkey,WR,9.09%,26
,,,,,,,Marvin Harrison Jr.,WR,9.09%,5.2
,,,,,,,Chris Olave,WR,9.09%,15.8
,,,,,,,Rashid Shaheed,FLEX,9.09%,6.8
,,,,,,,Elic Ayomanor,WR,9.09%,5.7
,,,,,,,Sterling Shepard,WR,9.09%,7.1
,,,,,,,Isaiah Bond,WR,9.09%,2.9
,,,,,,,Tyler Lockett,WR,9.09%,1
,,,,,,,Mark Andrews,TE,9.09%,6.6
,,,,,,,Jake Tonges,FLEX,9.09%,11.8
,,,,,,,Juwan Johnson,TE,9.09%,2.5
,,,,,,,Jonnu Smith,FLEX,9.09%,5.8
,,,,,,,Michael Mayer,TE,9.09%,16
,,,,,,,Hunter Long,TE,9.09%,3.9
,,,,,,,Packers,DST,9.09%,2
,,,,,,,Rams,DST,9.09%,17
,,,,,,,Jaguars,DST,9.09%,2
,,,,,,,Titans,DST,9.09%,5
,,,,,,,Dolphins,DST,9.09%,2
,,,,,,,Bengals,DST,9.09%,3
