Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4919715655,Nia8888,0,144.32,DST Bengals  FLEX Khalil Shakir QB Joe Flacco RB Bijan Robinson RB James Cook III TE Dallas Goedert WR Courtland Sutton WR Michael Pittman Jr. WR Wan'Dale Robinson,,Bijan Robinson,RB,58.33%,6.8
2,4911090348,davism54,0,123.56,DST 49ers  FLEX Darnell Mooney QB Justin Fields RB Jonathan Taylor RB Bijan Robinson TE Cade Otton WR Rome Odunze WR Courtland Sutton WR Jaylin Noel,,Courtland Sutton,WR,41.67%,10.7
3,4911090179,dominodwb,0,120.56,DST Giants  FLEX George Kittle QB Justin Fields RB Jonathan Taylor RB Christian McCaffrey TE Cade Otton WR Courtland Sutton WR DeVonta Smith WR Darnell Mooney,,Darnell Mooney,WR,41.67%,2.1
4,4911057746,cdubb823,0,120.38,DST Patriots  FLEX Javonte Williams QB Baker Mayfield RB Bijan Robinson RB Derrick Henry TE Kyle Pitts Sr. WR Rome Odunze WR Josh Downs WR Jaylin Noel,,Jaylin Noel,WR,41.67%,11.3
4,4911081416,mdturner3883,0,120.38,DST Colts  FLEX Jaylin Noel QB Bo Nix RB Bijan Robinson RB Derrick Henry TE Kyle Pitts Sr. WR Courtland Sutton WR DeVonta Smith WR Tee Higgins,,Jonathan Taylor,RB,33.33%,40.4
6,4922068046,O-N-E,0,119.92,DST Bears  FLEX James Cook III QB Josh Allen RB Cam Skattebo RB Rachaad White TE Dalton Kincaid WR DeVonta Smith WR Wan'Dale Robinson WR Rashid Shaheed,,Christian McCaffrey,RB,33.33%,9.8
7,4921025237,blade315,0,115.02,DST Bears  FLEX Ja'Marr Chase QB Jaxson Dart RB Bijan Robinson RB D'Andre Swift TE Kyle Pitts Sr. WR George Pickens WR Jauan Jennings WR Jayden Higgins,,DeVonta Smith,WR,33.33%,14.4
8,4921950407,packfan1983,0,114.38,DST Panthers  FLEX Cade Otton QB Bo Nix RB Jonathan Taylor RB Christian McCaffrey TE Tyler Warren WR Courtland Sutton WR Darnell Mooney WR Jaylin Noel,,Bo Nix,QB,25.00%,24.78
9,4912814403,Slam4life,0,107.3,DST Browns  FLEX Chuba Hubbard QB Caleb Williams RB Cam Skattebo RB D'Andre Swift TE Mark Andrews WR CeeDee Lamb WR Emeka Egbuka WR Michael Pittman Jr.,,D'Andre Swift,RB,25.00%,15.1
10,4920731977,emorej15,0,97.62,DST Jets  FLEX Colston Loveland QB Kirk Cousins RB Jonathan Taylor RB Bijan Robinson TE Tanner Conner WR Ja'Marr Chase WR Emeka Egbuka WR Tez Johnson,,Ja'Marr Chase,WR,25.00%,21.1
11,4915384148,Raydiddy1,0,96.52,DST Bengals  FLEX Theo Johnson QB C.J. Stroud RB Christian McCaffrey RB D'Andre Swift TE Noah Fant WR Ja'Marr Chase WR CeeDee Lamb WR Darnell Mooney,,Kyle Pitts Sr.,TE,25.00%,14.9
12,4918770598,sharple2,0,77.68,DST Bengals  FLEX Rachaad White QB Bo Nix RB Christian McCaffrey RB Bijan Robinson TE Dalton Schultz WR DeVonta Smith WR Darnell Mooney WR Jaylin Noel,,Cade Otton,TE,25.00%,8
,,,,,,,Bengals,DST,25.00%,-4
,,,,,,,Justin Fields,QB,16.67%,20.86
,,,,,,,James Cook III,RB,16.67%,36.6
,,,,,,,Cam Skattebo,RB,16.67%,10
,,,,,,,Rachaad White,RB,16.67%,8.1
,,,,,,,Derrick Henry,RB,16.67%,19.1
,,,,,,,CeeDee Lamb,WR,16.67%,14.6
,,,,,,,Emeka Egbuka,WR,16.67%,6.5
,,,,,,,Rome Odunze,WR,16.67%,21.4
,,,,,,,Michael Pittman Jr.,WR,16.67%,23.5
,,,,,,,Wan'Dale Robinson,WR,16.67%,7.8
,,,,,,,Bears,DST,16.67%,1
,,,,,,,Josh Allen,QB,8.33%,23.22
,,,,,,,Baker Mayfield,QB,8.33%,5.08
,,,,,,,Caleb Williams,QB,8.33%,12.8
,,,,,,,Jaxson Dart,QB,8.33%,19.42
,,,,,,,Joe Flacco,QB,8.33%,24.32
,,,,,,,C.J. Stroud,QB,8.33%,25.72
,,,,,,,Kirk Cousins,QB,8.33%,7.12
,,,,,,,Javonte Williams,FLEX,8.33%,17.9
,,,,,,,Chuba Hubbard,FLEX,8.33%,9.4
,,,,,,,George Pickens,WR,8.33%,14.8
,,,,,,,Tee Higgins,WR,8.33%,11.4
,,,,,,,Khalil Shakir,FLEX,8.33%,20.8
,,,,,,,Josh Downs,WR,8.33%,12.9
,,,,,,,Rashid Shaheed,WR,8.33%,15.5
,,,,,,,Jauan Jennings,WR,8.33%,8.5
,,,,,,,Tez Johnson,WR,8.33%,9.3
,,,,,,,Jayden Higgins,WR,8.33%,13.4
,,,,,,,Tyler Warren,TE,8.33%,9.3
,,,,,,,George Kittle,FLEX,8.33%,14.3
,,,,,,,Dalton Kincaid,TE,8.33%,3.3
,,,,,,,Dallas Goedert,TE,8.33%,17.8
,,,,,,,Theo Johnson,FLEX,8.33%,5
,,,,,,,Mark Andrews,TE,8.33%,6.4
,,,,,,,Dalton Schultz,TE,8.33%,4.4
,,,,,,,Noah Fant,TE,8.33%,7.1
,,,,,,,Colston Loveland,FLEX,8.33%,6.8
,,,,,,,Tanner Conner,TE,8.33%,2.6
,,,,,,,Colts,DST,8.33%,7
,,,,,,,Patriots,DST,8.33%,11
,,,,,,,49ers,DST,8.33%,2
,,,,,,,Browns,DST,8.33%,9
,,,,,,,Jets,DST,8.33%,-3
,,,,,,,Panthers,DST,8.33%,-2
,,,,,,,Giants,DST,8.33%,0
